Id,generalista,especialista,catboost_global,blend_arvores,score_juiz_continuo,peso_juiz_continuo,previsao_juiz_continuo
0,1257048.47,942378.0320873156,1146428.4340203337,1422978.54,0.2187287226621241,0.0,1257048.47
1,238203.05,211550.12819100436,228712.5305938642,252438.83,0.47593720553520846,0.2639058083028127,231169.18912636532
2,604884.0,539079.1507426664,616581.8166487849,587337.26,0.5175880270105067,0.32638204051576,583406.4790235595
3,203276.36,192807.9534947553,202798.00692793733,203993.88,0.43780328655833567,0.2067049298375035,201112.4887678229
4,294458.84,266586.44668309775,292876.94781947904,296831.67,0.46115326674150403,0.2417299001122561,287721.24914761574
5,228121.16,196578.55520783697,234783.24131782868,218128.03,0.526824915328922,0.3402373729933829,217389.18700814596
6,736230.99,679603.6284510464,734357.3674011189,739041.41,0.41660778362174034,0.1749116754326105,726326.2033161443
7,279378.25,263450.95256071026,265430.93012101424,300299.24,0.4700560726577706,0.25508410898665596,275315.44952413335
8,324746.12,302505.78554989793,328951.1574502642,318438.56,0.45243154794761126,0.22864732192141685,319660.9270893475
9,777522.31,708632.7095171508,756388.9165220906,809222.39,0.49101372040546504,0.2865205806081976,757784.0216717874
10,612557.7,603911.4326158445,630218.4671614072,586066.55,0.4933918084723958,0.2900877127085936,610049.5240710634
11,536856.11,467603.7195420204,552543.5829142291,513324.91,0.5544459568346436,0.3816689352519654,510424.62387024955
12,1055273.78,917986.7364853384,1054052.7883008437,1057105.27,0.4021449334694241,0.15321740020413616,1034239.0161109715
13,350220.24,323709.56854056375,357118.8729518428,339872.3,0.42894534820124963,0.19341802230187438,345092.5983564211
14,762724.46,724574.5449933524,771878.0553687252,748994.07,0.5283614292814107,0.34254214392211607,749656.5063231764
15,576220.05,501680.71346895857,574223.5183129946,579214.84,0.3312439341274093,0.046865901191113946,572726.696819285
16,394303.78,333972.678651973,393127.8984929425,396067.59,0.3951443027282066,0.14271645409230987,385693.5391441258
17,348076.39,279523.93463283137,345057.68936755374,352604.45,0.36129385217234594,0.09194077825851893,341773.62390201015
18,339258.1,303975.8360492065,339174.86139591207,339382.96,0.44385150050888,0.21577725076331994,331644.99008399196
19,921491.57,806155.2517611344,913404.759342364,933621.78,0.451418968426317,0.2271284526394755,895295.4105052723
20,734549.61,589453.8501517123,709617.6666871413,771947.53,0.3027751610616885,0.00416274159253277,733945.6138455793
21,285310.68,258880.8220260223,284303.45395712764,286821.53,0.4497384504486665,0.22460767567299972,279374.33103209734
22,332375.65,278351.8075924313,331876.76819405775,333123.97,0.4307224083408186,0.1960836125112279,321782.45981898665
23,342734.55,296982.7825360192,326404.8470267258,367229.1,0.3790885870409693,0.11863288056145399,337306.8860349701
24,308895.19,269270.2271247628,310351.8971000521,306710.13,0.5637417127730585,0.3956125691595877,293219.05663407414
25,355394.12,324521.0226823655,352469.1453951763,359781.57,0.44980879461875367,0.2247131919281305,348456.52775704657
26,458018.41,375643.7607755412,462880.0860265397,450725.88,0.4984566453186253,0.29768496797793803,433496.7151834231
27,553063.58,494792.0119444932,543004.3825606164,568152.39,0.27541492635972264,0.0,553063.58
28,744680.81,674864.1020830239,754939.713355,729292.46,0.5259173663437469,0.3388760495156203,721021.5998309093
29,883379.43,803225.0753841039,889868.3873731623,873645.99,0.4959284854874185,0.29389272823112783,859822.648042329
30,356385.73,327534.5165654696,355937.8242853867,357057.59,0.34526003185094206,0.06789004777641311,354427.0197415222
31,1409942.27,1230599.0395261548,1421335.4107722954,1392852.57,0.6185113431190054,0.47776701467850796,1324257.9901737114
32,1145660.84,930550.0488275174,1098758.6057576777,1216014.18,0.4679532273558175,0.25192984103372623,1091468.0125752774
33,1332201.0,1060383.6072790325,1282504.7291942528,1406745.41,0.36727476323362357,0.10091214485043537,1304771.323892874
34,1113840.35,912322.897279328,1087518.2309810913,1153323.53,0.27197168753164924,0.0,1113840.35
35,340729.13,341838.23511424306,352560.4497041919,322982.16,0.47384884485854933,0.26077326728782396,341018.3549644068
36,478934.41,440056.45275905245,478360.2493860528,479795.64,0.3222198435180188,0.03332976527702819,477638.61681070883
37,2247921.4,1449915.6788173865,2139881.7761558425,2409980.82,0.018501162125332538,0.0,2247921.4
38,428593.47,391282.8944384393,437577.4143042121,415117.56,0.3797057268071717,0.11955859021075749,424132.67018590786
39,355863.01,349752.1514987296,364474.1768943351,342946.26,0.3802557249448994,0.12038358741734906,355127.36293141724
40,1839658.98,1429051.9466893114,1752466.077833111,1970448.33,0.26388057594554193,0.0,1839658.98
41,653362.51,637621.5083145398,649904.5668673385,658549.42,0.5828507538283499,0.42427613074252485,646683.9787108814
42,357185.24,332283.91466472705,358384.6782440039,355386.07,0.46557274772583757,0.24835912158875634,351000.76871333574
43,1054116.76,859416.4306466421,1050294.1184523932,1059850.73,0.2868612843341023,0.0,1054116.76
44,983899.15,1002217.226265068,999916.7604705808,959872.73,0.5555802612066025,0.3833703918099038,990921.7580749429
45,229816.15,224989.2868559252,223598.0266811299,239143.32,0.603226341731601,0.45483951259740135,227620.70192017464
46,904152.46,793333.4724588655,933781.6240901658,859708.71,0.47035408554153785,0.2555311283123068,875834.7590751864
47,534434.59,399663.7227547576,538934.9099228781,527684.11,0.25535568418841603,0.0,534434.59
48,247608.4,236880.13355951256,245751.9665495944,250393.04,0.484277906918261,0.2764168603773915,244642.9262732283
49,433146.63,397157.7702688872,432899.3329467023,433517.58,0.3982458977358342,0.1473688466037512,427842.99325084174
50,467894.58,370385.2643887911,467734.2179810776,468135.12,0.4516488712810528,0.22747330692157924,445713.81352225837
51,347565.92,312293.0272302959,346091.2466360839,349777.93,0.4001734751855375,0.1502602127783062,342265.80762711784
52,663085.36,482152.0464309813,653499.9998454251,677463.41,0.30732380690286165,0.010985710354292466,661097.6790236884
53,864136.84,824279.4396505072,889150.1917312318,826616.81,0.5411484973676997,0.36172274605154947,849719.5116951055
54,926029.38,857854.5962048833,942986.5048825224,900593.7,0.525735558254246,0.338603337381369,902945.1706817203
55,314450.06,291453.6277713469,323784.9043816084,300447.81,0.46702506356003093,0.2505375953400463,308688.5891680329
56,595302.98,522087.7005921757,597611.2431211348,591840.58,0.459228262761073,0.23884239414160952,577816.0673784884
57,382354.71,342743.231125739,390702.708122445,369832.72,0.5154314879561918,0.32314723193428757,369554.37024895905
58,824101.55,752499.1436857559,805332.4025007216,852255.27,0.4679974783108229,0.2519962174662343,806058.0144473301
59,1199261.47,1079826.4517312946,1238192.2409048127,1140865.31,0.6474616620111513,0.5211924930167269,1137012.8350750352
60,2046397.05,1485737.257496117,1994239.935066003,2124632.72,0.0697996631801554,0.0,2046397.05
61,600300.86,502517.4788868306,586272.8855366632,621342.82,0.26634236420613694,0.0,600300.86
62,1242889.44,914988.5862860768,1190097.7667003362,1322076.95,0.1497103751335123,0.0,1242889.44
63,3567252.38,2032235.4067562253,3495393.7012963668,3675040.41,-0.013635085453593765,0.0,3567252.38
64,389471.14,352385.81236831506,387601.1663439352,392276.09,0.3596391646606783,0.08945874699101747,386153.53305831813
65,428539.9,397976.68561066943,432077.9943207907,423232.77,0.389105571293387,0.1336583569400805,424454.8709819147
66,533898.75,504041.5859861824,536846.8675643721,529476.58,0.45482618676626274,0.23223928014939416,526964.7437221286
67,1034139.75,803038.1344021998,950901.4429667272,1158997.21,0.2704927262783192,0.0,1034139.75
68,788697.79,656831.1654538994,761132.4826709605,830045.75,0.35757109703463263,0.08635664555194894,777310.2306439405
69,365345.54,340007.2575802669,376325.0862726709,348876.21,0.5076517505392681,0.3114776258089022,357453.23194982606
70,1643663.23,1269971.609977384,1568777.2689555571,1755992.16,0.24793479656550768,0.0,1643663.23
71,266370.65,243082.0412741512,265874.3420764416,267115.12,0.42367341929248886,0.18551012893873325,262050.3771924641
72,449797.89,457111.9071965834,454164.7265601549,443247.64,0.4219724664265663,0.1829586996398494,451136.0530754304
73,399910.92,360414.6554537356,406209.3398139168,390463.28,0.5519995073722777,0.37799926105841647,384981.3611869443
74,260517.03,247610.11957181545,272957.2156217296,241856.75,0.46582321935739185,0.24873482903608773,257306.6318412614
75,2008109.87,1598973.9223803647,1859187.8893264672,2231492.84,0.24336396104975971,0.0,2008109.87
76,304184.34,292251.7933911055,315566.49375370936,287111.12,0.5371040407099184,0.3556560610648775,299940.4574746075
77,401404.24,295544.81070037704,392673.9503367661,414499.68,0.3400869069313485,0.06013036039702274,395038.8743647905
