Id,generalista,especialista,catboost_global,blend_arvores,peso_especialista,score_juiz_componentes,fracao_arvores_no_restante,peso_catboost_final,peso_arvores_final,previsao_final
0,1257048.47,942378.0320873156,1146428.4340203337,1422978.54,0.0,0.5357351990176594,0.46112616198470807,0.538873838015292,0.46112616198470807,1273952.9229872015
1,238203.05,211550.1281910044,228712.5305938642,252438.83,0.2639058083028127,0.4163289418054445,0.3058980276088286,0.5109244303227027,0.22516976137448458,229525.7180908985
2,604884.0,539079.1507426664,616581.8166487849,587337.26,0.32638204051576,0.5894624107196983,0.5309715371973587,0.315945996053145,0.357671963431095,580826.3804086919
3,203276.36,192807.9534947553,202798.00692793733,203993.88,0.2067049298375035,0.5093326766261378,0.4268028828757299,0.45471444724603854,0.33858062291645796,201137.91308362654
4,294458.84,266586.44668309775,292876.94781947904,296831.67,0.2417299001122561,0.5558454512952606,0.48726948994558966,0.3887882150744516,0.36948188481329225,287982.9458110522
5,228121.16,196578.55520783697,234783.24131782868,218128.03,0.3402373729933829,0.5290243353742521,0.45240203924827854,0.3612846691290221,0.2984779578775949,216813.36581756297
6,736230.99,679603.6284510464,734357.3674011189,739041.41,0.1749116754326105,0.6008354009881526,0.5457564245463491,0.37479107061655337,0.4502972539508361,726889.5107048269
7,279378.25,263450.95256071026,265430.93012101424,300299.24,0.2550841089866559,0.3775230451591737,0.2554503619686766,0.5546268570177662,0.190289033995578,271560.9263131612
8,324746.12,302505.78554989793,328951.1574502642,318438.56,0.2286473219214168,0.5507016290823047,0.48058252106874694,0.40065406341444815,0.37069861466413506,319007.48867669486
9,777522.31,708632.7095171508,756388.9165220906,809222.39,0.2865205806081976,0.44421765313789663,0.34215335234101646,0.46936004422057515,0.2441193751712272,755603.4548969428
10,612557.7,603911.4326158445,630218.4671614072,586066.55,0.2900877127085936,0.5876587110461854,0.5286267276217917,0.3346336779620489,0.3752786093293574,606017.8496103812
11,536856.11,467603.7195420204,552543.5829142291,513324.91,0.3816689352519654,0.3266837862198599,0.18935932534756866,0.501244311485903,0.11708675326213164,515532.68862173427
12,1055273.78,917986.7364853384,1054052.7883008437,1057105.27,0.1532174002041361,0.5963405253203893,0.5399130861782568,0.38959359301803126,0.45718900677783264,1034600.6626618754
13,350220.24,323709.56854056375,357118.8729518428,339872.3,0.1934180223018743,0.5760775156295074,0.5135711735801105,0.39234472482313276,0.4142372528749929,343512.7383650523
14,762724.46,724574.5449933524,771878.0553687252,748994.07,0.342542143922116,0.6228963271798915,0.5744356285956098,0.27979063924666275,0.37766721683122123,747032.0784454901
15,576220.05,501680.71346895857,574223.5183129946,579214.84,0.0468659011911139,0.5583920282182968,0.4905800399455366,0.4855455345417697,0.46758856426711637,573157.6193304699
16,394303.78,333972.678651973,393127.8984929425,396067.59,0.1427164540923098,0.49806166836456156,0.4121505721356808,0.5039536419793305,0.35332990392835967,385724.1561939559
17,348076.39,279523.93463283137,345057.68936755374,352604.45,0.0919407782585189,0.45146679027343867,0.35157723061722107,0.588806275325182,0.319252946416299,341441.7905228475
18,339258.1,303975.8360492065,339174.86139591207,339382.96,0.2157772507633199,0.4985451372203934,0.4127790816482622,0.4605120029990879,0.3237107462375923,331647.07623147184
19,921491.57,806155.2517611344,913404.759342364,933621.78,0.2271284526394755,0.6084425045258091,0.5556456591453025,0.343428826992736,0.4294427203677885,897727.3969880408
20,734549.61,589453.8501517123,709617.6666871413,771947.53,0.0041627415925327,0.5838201524117577,0.5236366013970357,0.47438042087043947,0.5214568375370278,741619.7891773703
21,285310.68,258880.8220260223,284303.45395712764,286821.53,0.2246076756729997,0.5818214601398748,0.521038301443588,0.37138322470726437,0.40400909961973597,279610.6613244468
22,332375.65,278351.8075924313,331876.76819405775,333123.97,0.1960836125112279,0.45643267873997784,0.358032885623722,0.5160878834759687,0.2878285040128033,321740.38078977604
23,342734.55,296982.7825360192,326404.8470267258,367229.1,0.1186328805614539,0.497885591434442,0.41192167212652536,0.5183129018420812,0.3630542175964649,337735.8399863006
24,308895.19,269270.2271247628,310351.8971000521,306710.13,0.3956125691595877,0.34610242221800036,0.21460355214515126,0.4746837413101778,0.1297036895302344,293627.12146647496
25,355394.12,324521.0226823655,352469.1453951763,359781.57,0.2247131919281305,0.5148916074455374,0.43402949294094945,0.4387894678806289,0.3364973401912407,348649.4449618537
26,458018.41,375643.7607755412,462880.0860265397,450725.88,0.297684967977938,0.5361782947195726,0.4617021863971951,0.37805464619785994,0.32426038582420214,432970.0158021306
27,553063.58,494792.0119444932,543004.3825606164,568152.39,0.0,0.6019759456549179,0.547239132613144,0.45276086738685595,0.547239132613144,556766.3563386935
28,744680.81,674864.1020830239,754939.713355,729292.46,0.3388760495156203,0.481444070051666,0.3905476943289166,0.4029235159570805,0.25820043452729935,721181.8745839116
