Id,preco,fold,generalista,especialista,catboost_global,blend_arvores,peso_especialista,score_juiz_componentes,r_arvores_livre,pred_livre,r_arvores_ancorada_publico,pred_ancorada_publico
2000,1000000.0,2,1144174.2728809388,1045851.562084462,1095918.521902345,1216557.89934883,0.2521930988065633,0.5613457238140849,0.6740765790512679,1144103.7711068694,0.4924906297144602,1127722.002130628
2001,680000.0,4,972771.776256296,887923.8072156201,976264.5398215272,967532.6309084488,0.2724103795130655,0.6343307753430397,0.7600788568503195,947370.6391468311,0.5923515202265391,948436.2522263356
2002,450000.0,4,334342.9386517189,279835.29813603614,302373.4996193184,382297.0972003196,0.0057755079693399,0.590883585349718,0.6840462743620065,356599.0138833718,0.5336978137355547,344652.0247747627
2003,1080000.0,5,983534.7943689504,895521.5373931277,975424.8310781928,995699.7393050872,0.1625803028267769,0.5825514328170668,0.7446995775847469,975078.0912328907,0.5257014789030798,971359.8084704683
2004,350000.0,5,358709.7409820411,324368.2732442876,358584.58424428507,358897.4760886751,0.0592618797654868,0.5298090110757683,0.6682230660598641,356753.5523178529,0.4571363306393917,356691.4190880974
2005,490000.0,5,365645.16191962897,333977.2010535186,361595.4260347352,371719.7657469695,0.2483695266181154,0.43587735664327537,0.5320221671327494,358784.4627740394,0.3350251798771509,357285.3625369427
2006,680000.0,2,661589.424060959,521639.1257862864,622098.6648975768,720825.5628060324,0.0,0.6824084964107227,0.7709267971285783,698209.8760925826,0.613553402311098,682672.8890089302
2007,390000.0,2,411694.8547497572,384614.6903938695,403343.7504140949,424221.5112532506,0.2750947963813574,0.575682020502093,0.6855456164016746,408566.8033053705,0.5068269264024684,405862.00361520995
2008,1350000.0,1,1153923.6301110934,1070466.78426509,1145665.9350415966,1166310.1727153386,0.292820992877602,0.5052518998769927,0.5834030398031884,1132163.2460799098,0.4035600824429342,1129537.6879021756
2009,400000.0,5,357533.38694593223,304971.9747918271,357004.99450033426,358325.9756143292,0.1199518971134644,0.5893697436225406,0.754586128252684,351640.76176381425,0.5345652829501957,351384.98160745844
2010,980000.0,4,783643.2852283658,739228.556374632,791819.1624912816,771379.4693339921,0.4393734242857338,0.5313483013568205,0.5798595273744359,762067.6170709212,0.45332518034514324,763517.5786054413
2011,1200000.0,4,1159255.035972386,951800.1338339276,1137205.4652974296,1192329.3919848206,0.0971642129390245,0.5327122516354591,0.5822464403620534,1148167.8578737336,0.4551665132213052,1141843.3626469222
2012,215000.0,1,266378.1410776054,235816.5552842251,264211.5222291902,269628.06935022824,0.3620362551080608,0.33860068217229516,0.31676109147567233,255026.10190698731,0.15358325588588795,254462.2309935422
2013,750000.0,4,554907.9914284085,455030.63549693977,533801.3515566502,586567.951236046,0.2369953171429911,0.42221298031624965,0.38887271555343694,530789.5283750284,0.30599249694037245,527452.6744126636
2014,580000.0,2,538204.4059876575,444251.7202194365,547735.5143629649,523907.7434246965,0.2454382207355549,0.5480608837141789,0.6634487069713433,510408.1432842368,0.4792057896145543,513720.74346623896
2015,1500000.0,4,2058866.6214799609,1512205.1767596195,2224776.044249296,1810002.4873259575,0.0,0.3878173328124247,0.3286803324217432,2088448.1336799844,0.25955837281020877,2117118.094729572
2016,300000.0,5,302556.23521931533,250443.28251904456,297059.7700972438,310800.93290242273,0.0513447426077124,0.5738597579128842,0.7320966489736823,304209.596900454,0.5144023015276424,301371.81473129266
2017,420000.0,1,372916.32312696,348163.79907206,383556.55569988384,356955.97426757414,0.4020454731266562,0.5361919546769303,0.6329071274830885,359260.07653294783,0.44997016464284056,362169.8605373268
2018,560000.0,3,548700.6353317637,488125.337223422,565223.4012297179,523916.4864848323,0.2065279829635672,0.5702765453191536,0.6733871634468152,527229.6360708579,0.5132123648114966,532479.5062037493
2019,489000.0,1,525229.9080688264,461936.9893180333,526395.214858932,523481.9478836682,0.103567686558776,0.5511577999310712,0.656852479889714,518004.02466374764,0.472418932524052,518485.6814773125
2020,1300000.0,4,1346125.5182859031,1164252.5015403186,1311117.112348884,1398638.127191432,0.2258929233109652,0.5467775885603112,0.6068607799805447,1319056.6404652297,0.47415471806985565,1310065.7202438372
2021,380000.0,4,413984.3315273691,368128.0201509321,414594.9489824558,413068.405344739,0.1468987813669066,0.60697607257976,0.71220812701458,406841.5077990196,0.5554226714961116,407045.6889078568
2022,690000.0,3,959505.6907685434,860771.3233971315,925354.4890885206,1010732.4932885777,0.0356390144272366,0.6059393037600153,0.7233150252640215,982607.107755918,0.5649233645507459,969565.8961146802
2023,700000.0,1,744730.9519521216,744318.596053999,773184.2905498256,702050.9440555654,0.4119653219573695,0.6065179225007861,0.7454286760012577,730112.1828833037,0.5554591163786242,738058.3957523099
2024,400000.0,4,379324.69463404187,332832.5317101444,384519.49592460913,371532.49269819097,0.550468440588501,0.5659250319086879,0.6403688058402038,352328.9368212438,0.5000037665901642,353148.3974388833
2025,690000.0,2,766321.3769573652,719618.0100737363,761217.4632165808,773977.2475685418,0.294589036116761,0.5812001532169758,0.6899601225735807,755172.9768071211,0.5123450591173512,753574.2828426919
2026,2200000.0,1,1704098.190801805,1191600.5056504717,1752328.543803505,1631752.6612992557,0.0,0.7196406521274183,0.9264250434038693,1640624.026621046,0.7251432108185727,1664893.7612170908
2027,370000.0,5,387868.7082918679,356544.2046056855,388097.6726202921,387525.2617992314,0.1599686379923054,0.5440689961358235,0.6889000443969442,382718.85452532547,0.47567431121746345,382821.3826354242
2028,579000.0,4,509140.0656620561,457304.5768356473,505216.8484815121,515024.891432872,0.2113550133921225,0.5276100399406741,0.5733175698961798,499524.99770545383,0.4482785274333455,498557.8127217558
2029,265000.0,1,248442.7700788176,215351.16422593265,237550.1920640686,264781.63710094104,0.2185647751824017,0.4055468797743509,0.42387500763896147,241718.16154540234,0.2540025522889715,238103.34188219553
2030,300000.0,2,408795.025203346,330245.0801360623,382013.9356027983,448966.6596041675,0.2428340179981982,0.5166270369825094,0.6383016295860077,401800.9666912411,0.4477719428828848,392142.1928282797
2031,470000.0,3,510220.1860169168,433922.7969822658,514148.52024051285,504327.6846815226,0.2268538005982316,0.6242432942174443,0.7489406119044221,490262.34762013436,0.591464150714018,491458.0572070885
2032,900000.0,2,563518.9802726245,485327.5497277269,547611.611359966,587380.0336416124,0.2401960537913665,0.4645443084295693,0.5966354467436555,550679.2840240737,0.39568921432994464,544607.4516354381
2033,814000.0,1,607093.4522205994,524429.3868393824,602512.2365834275,613965.2756763573,0.1099138693880817,0.5164912319453303,0.6013859711125286,600060.4920397832,0.42041908054544064,598215.6809474294
2034,298500.0,5,432284.2430515949,331755.6091386976,424525.5182865209,443922.330199206,0.0,0.6321227714014688,0.8165780185321299,440364.52852402173,0.5901442190628023,435972.43470504053
2035,700000.0,3,585384.2062483733,509725.7468512388,578206.3169001803,596151.0402706629,0.0811187072514391,0.5940084671527637,0.7066118540138693,584302.6343397365,0.5476236514702311,581681.0666420467
2036,1100000.0,4,1589475.11564298,1367300.3433480726,1658513.2822551238,1485917.8657247643,0.5006073685562935,0.5640863700822241,0.6371511476438921,1457812.0472952318,0.4975215731244379,1469847.122349592
2037,700000.0,4,721238.1504257739,670245.8449101883,744816.735674732,685870.2725523368,0.3023972111158092,0.5327015545862064,0.5822277205258611,698324.7937977549,0.45515207220481413,703550.299116554
2038,635000.0,4,596982.7312910217,521899.2246669483,586272.5495635334,613048.0038822542,0.0,0.5685908365898354,0.645033964032212,603543.6270015013,0.5036026029097134,599756.7380525314
2039,160000.0,4,189148.84472006728,164224.28968369408,182074.7531340901,199759.98209903305,0.1425231055413483,0.32915074200562755,0.22601379850984826,182958.07549531435,0.18035847522103265,182265.72734600227
2040,480000.0,4,440928.7082326583,356857.91003210924,442213.16269164,439002.0265441857,0.3855840675273278,0.5137787636903567,0.5491128364581243,408218.1522705725,0.42960630449541704,408453.9354565949
2041,350000.0,3,229566.6342000038,206168.8382370181,233990.5204051837,222930.804892234,0.4190997530451796,0.3707149197867294,0.39400088770142117,219799.16553583235,0.22384800778948133,220892.32827717377
2042,950000.0,5,1063154.432028032,963302.1006562418,1034318.89935727,1106407.7310341748,0.117265292617196,0.6159747937709084,0.7931634509678173,1076464.2987230283,0.5691518481430737,1062209.2500967984
2043,440000.0,1,357884.3468460555,327383.97662414424,358957.03806594585,356275.31001622,0.2216516664006019,0.39169666394883895,0.40171466231814235,351120.3099140551,0.23322722855070355,351471.99686146074
2044,790000.0,2,763585.0373535991,661821.5090863848,757339.8907387855,772952.7572758194,0.0475558146465782,0.6323338810971904,0.7308671048777524,763665.7107514645,0.5634787869975657,761176.5821958587
2045,860000.0,1,824236.1475665746,801071.7416482064,859930.534172948,770694.5676570146,0.3433584862731171,0.6877905205835575,0.8754648329336921,788422.0957831361,0.6773680135027815,800029.7849645122
2046,370000.0,4,363648.8207705867,306725.734066051,358987.13287162164,370641.3526190343,0.0,0.6098574470460736,0.7172505323306287,367346.12818935147,0.5593125270256348,365505.4839690591
2047,460000.0,5,402283.112951814,402195.5832311663,402529.9235866553,401912.89699955215,0.0807877656492618,0.6127975835761728,0.7885564961854507,402055.66077418515,0.5650214748899174,402182.445007177
2048,300000.0,2,298288.7829804027,245652.1573651173,285433.34612701094,317571.93826049025,0.0,0.5708376770213437,0.6816701416170751,307341.2647780132,0.501982582921719,301566.35961764253
2049,1200000.0,3,1095296.9118450503,864771.2709929718,1070132.2608508016,1133043.8883364229,0.0,0.6287982631308047,0.7553175683831266,1117650.5183462661,0.5980688556383905,1107757.7459074757
2050,169000.0,4,167787.74971523107,137946.2217141982,158651.79151400347,181491.6870170725,0.2091733963684168,0.26407098911795407,0.11212423095641966,156345.9695267431,0.09250080882267342,155991.52348590043
2051,1600000.0,1,1128551.6014137054,989529.7287062784,1090346.7851455896,1185858.8258158788,0.2369124493485834,0.509068563727742,0.5895097019643872,1109427.8234742587,0.40928507821905824,1096292.323135053
2052,330000.0,2,388863.32541456353,346965.28503556777,373853.0824057006,411378.68992785807,0.0418997733095067,0.5688369286638932,0.6800695429311148,397177.2293785844,0.4999818345642686,390702.4832207042
2053,530000.0,4,287737.520229194,259865.8253600395,302418.07804576773,265716.68350433325,0.535749526729929,0.6017225268531344,0.7030144219929854,267642.31930772366,0.5483303847651669,270277.92489862035
2054,1200000.0,4,1309234.595572882,1191223.903759165,1348938.911267795,1249678.122030513,0.4444540730019459,0.5760873412216725,0.6581528471379269,1242548.7011368386,0.5137228841626933,1250513.1364965106
2055,450000.0,5,418705.6251386376,376642.2059459161,422768.94476709294,412610.64569595456,0.3078552815937772,0.5512750383912807,0.6993488056673571,403651.45401909243,0.4850421661495578,405158.2467982607
2056,435000.0,2,433012.10137708834,405303.7602792999,440945.3434969132,421112.2381973511,0.1696555699857542,0.5949979754226833,0.7009983803381468,423354.29278474586,0.5261428813230586,426233.8670881366
2057,320000.0,3,302660.2576667977,259970.20350121032,298370.05340486945,309095.5640596902,0.1270867043720586,0.5429632455790694,0.6351485438106972,299436.4837065235,0.4736080801883744,297924.0706704946
2058,450000.0,2,389078.4860500664,354946.7930981908,397999.83004617016,375696.4700559106,0.4483360257479984,0.5412678395735248,0.65801427165882,370601.42114750814,0.4724127454739001,372885.0549408624
2059,580000.0,3,793729.9616464123,678438.7519738305,750038.9824553634,859266.4304329858,0.135003830602682,0.5226631148358577,0.6067283607702009,797697.175959083,0.4441728906107174,782338.719899743
2060,420000.0,5,350577.2366063453,320041.1024261674,349351.35912436486,352416.052829316,0.0564752861384941,0.5001524079453885,0.6252209915208135,349503.9519196706,0.41858274656989797,348906.43382576125
2061,1750000.0,1,1535139.4895076223,1215421.748166179,1474644.766946796,1625881.5733488617,0.0,0.43547207134671434,0.47175531415474303,1545991.5340627625,0.29889033964751666,1519847.987379515
2062,390000.0,4,315733.30267309764,238269.9975090627,302768.9121909488,335179.888396321,0.0,0.7488962144449456,0.9605683752786548,333901.8709457383,0.7470148630141119,326980.3931411585
2063,220000.0,2,235704.6937889789,217179.91480095344,238539.96047733087,231451.79375645105,0.3684414101630017,0.4173366570659777,0.5588693256527824,228168.20485146172,0.348481562966353,229110.02514856745
2064,900000.0,5,930260.9572789668,840125.6115491193,951848.3306352326,897879.8972445676,0.2527973237254795,0.7160633268651296,0.9382918239544381,885768.1726692442,0.6992669411655614,895406.93660607
