Id,preco,fold,base,especialista_caro,score_faixa_1m,score_continuo_q95,score_continuo_q99,score_utilidade,peso_continuo_q99_livre,pred_continuo_q99_livre,peso_continuo_q99_gate_faixa,pred_continuo_q99_gate_faixa,peso_continuo_q99_gate_preco,pred_continuo_q99_gate_preco,peso_continuo_q99_gate_faixa_preco,pred_continuo_q99_gate_faixa_preco,peso_continuo_q95_gate_faixa,pred_continuo_q95_gate_faixa,peso_continuo_q95_gate_preco,pred_continuo_q95_gate_preco,peso_utilidade_gate_faixa,pred_utilidade_gate_faixa,peso_utilidade_gate_faixa_preco,pred_utilidade_gate_faixa_preco,peso_faixa_pura,pred_faixa_pura,peso_preco_puro,pred_preco_puro
2000,1000000.0,2,1127722.002130628,1111439.1851390018,0.8853098140359662,0.3033793721403597,0.32066092736879354,0.33373291379730274,0.06033046368439668,1126739.652231435,0.15992122442042125,1125118.0341003137,0.0031853710687339064,1127670.1353164655,0.04045592225478854,1127063.265752326,0.15461318741064062,1125204.4638955286,0.0030368575298558,1127672.5535352398,0.16998540682427712,1124954.1608600612,0.05457268070462698,1126833.4051579721,0.1734705855410432,1124897.412332833,0.003222660017754499,1127669.5281473328
2001,680000.0,4,948436.2522263356,1103898.5522209376,0.6781446368289277,0.3033387936303131,0.27388040414825876,0.213331135013396,0.010820606222388118,950118.448557004,0.03636358495059513,954089.4187788042,0.047963675464469877,955892.7955302367,0.023708381950005263,952122.011813434,0.03922870608706854,954534.8371004435,0.05312261568590444,956694.8162425956,0.018727717577777785,951347.7062746262,0.03659867781729826,954125.9668565742,0.048629969031722106,955996.3790606734,0.00011959559380529826,948454.8448324178
2002,450000.0,4,344652.0247747627,961962.0738477708,0.0007092885975972655,0.07448628559582238,0.06626350806656756,0.00012566339132711872,0.0,344652.0247747627,2.1170680071111528e-20,344652.0247747627,0.00022674881639957043,344791.99909774156,2.2092974932706464e-21,344652.0247747627,2.2217703524376337e-20,344652.0247747627,0.0002548865520353363,344809.36880470766,1.0359494791991494e-20,344652.0247747627,4.7313638534028095e-21,344652.0247747627,6.366604529550573e-20,344652.0247747627,6.813401113303092e-10,344652.02519536077
2003,1080000.0,5,971359.8084704684,1012109.5486752796,0.7229645228845846,0.34640047117893624,0.3479475573003695,0.3745734731364621,0.14794755730036946,977388.6329943949,0.05154206319452248,973460.1341552652,0.00013408693529879434,971365.2724782467,0.0013734046499811684,971415.7743531512,0.051376380300831664,973453.3826203909,0.00013357484212336975,971365.2516105828,0.04985966123925609,973391.576712668,0.0019373517990938234,971438.7550529668,0.07139567793304935,974269.1637979866,0.00018914568983405006,971367.51610819
2004,350000.0,5,356691.4190880974,688736.3436106279,0.00027598920956333,0.04590415152528096,0.05498200777003303,0.0007840107913590629,0.0,356691.4190880974,6.24165242236121e-23,356691.4190880974,1.700892197375405e-10,356691.41914457467,2.552984716722434e-27,356691.4190880974,5.940769748183313e-23,356691.4190880974,1.5631845188190913e-10,356691.41914000217,3.6572222183026363e-23,356691.4190880974,6.569611725646936e-27,356691.4190880974,2.2096455819940057e-22,356691.4190880974,8.668357364402011e-10,356691.4193759258
2005,490000.0,5,357285.3625369427,1013756.61437093,0.0011631943506253178,0.032787313262021646,0.036786309483038855,0.000471708217325108,0.0,357285.3625369427,3.160308149601986e-19,357285.3625369427,1.4418970471403717e-10,357285.36263159907,1.2058331757145088e-23,357285.3625369427,3.086018901527619e-19,357285.3625369427,1.3805088644305666e-10,357285.3626275691,2.047005600435269e-19,357285.3625369427,3.6767618007153313e-23,357285.3625369427,1.2384649208374048e-18,357285.3625369427,8.771941659784092e-10,357285.36311279546
2006,680000.0,2,682672.8890089302,1003467.8514596733,0.021082046531780318,0.28600177906945895,0.2612251447236114,0.09812310392593591,0.030612572361805618,692493.2480102563,4.555479015042428e-08,682672.9036226774,3.6599933592439717e-07,682673.0064196734,1.0054778010791251e-05,682676.1145310646,4.800195590270617e-08,682672.9044077158,3.951365437328312e-07,682673.0157667429,1.2232279468452081e-11,682672.8890128542,1.6049989557505143e-05,682678.0377647276,2.3424930516888236e-06,682673.6404689008,4.4099827182516326e-07,682673.0304789542
2007,390000.0,2,405862.00361521,717831.707276779,0.0017492574033850657,0.08199001250026222,0.08265177975231539,0.0024921915174248915,0.0,405862.00361521,1.3232338779991002e-12,405862.0036156228,6.148513829666315e-10,405862.00380702503,2.234032207224727e-08,405862.01058471366,1.3201358156128152e-12,405862.0036156218,6.117840399510561e-10,405862.0038060681,2.577255104998795e-18,405862.00361521,4.4433464805338294e-08,405862.01747710485,1.3381388220754706e-09,405862.0040326688,1.738154354528835e-09,405862.0041574615
2008,1350000.0,1,1129537.6879021756,1135854.9738088294,0.9066566981312217,0.4062600279979758,0.43346807315371944,0.40846111484485126,0.2502021097305791,1131118.2861637915,0.24542423815866576,1131088.1029830466,0.27023402367285015,1131244.8334914225,0.21615704610686093,1130903.2137631704,0.22653281836350095,1130968.760483018,0.2343498854347724,1131018.1431306587,0.22540401294474177,1130961.6294964547,0.2233008221403715,1130948.3430388272,0.27773284978067425,1131292.2057199099,0.003341306625246746,1129558.795891429
2009,400000.0,5,351384.98160745844,701805.1920560962,0.0007381335693917466,0.09541018373472596,0.09939836328384866,0.0017616740393341342,0.0,351384.98160745844,2.823101810917413e-20,351384.98160745844,2.1355632620736058e-10,351384.9816822929,1.2370499010512722e-24,351384.98160745844,2.774724056313956e-20,351384.98160745844,2.0811558050188838e-10,351384.98168038635,1.3442054956142853e-20,351384.98160745844,2.332704832042206e-24,351384.98160745844,8.086856673591555e-20,351384.98160745844,7.795530536402252e-10,351384.9818806296
