Id,especialista,catboost_global,blend_arvores,peso_especialista,fracao_arvores_ancorada,fracao_arvores_intensidade175,peso_catboost_final,peso_arvores_final,previsao_final
0,942378.0320873156,1146428.4340203337,1422978.54,0.0,0.461126161984708,0.506970783473239,0.493029216526761,0.506970783473239,1286631.2579184524
1,211550.1281910044,228712.5305938642,252438.83,0.2639058083028127,0.3058980276088286,0.23532154831545005,0.5628753668009955,0.1732188248961918,228293.11461758538
2,539079.1507426664,616581.8166487849,587337.26,0.32638204051576,0.5309715371973587,0.6292001900953776,0.2497774113250958,0.4238405481591442,578891.3094842426
3,192807.9534947553,202798.00692793733,203993.88,0.2067049298375035,0.4268028828757299,0.44690504503252737,0.43876750110744406,0.3545275690550525,201156.9836070953
4,266586.44668309775,292876.94781947904,296831.67,0.2417299001122561,0.4872694899455896,0.5527216074047818,0.3391578314308056,0.4191122684569383,288179.2201900755
5,196578.55520783697,234783.24131782868,218128.03,0.3402373729933829,0.4524020392482785,0.49170356868448734,0.3353549888228112,0.3244076381838059,216381.5015126593
6,679603.6284510464,734357.3674011189,739041.41,0.1749116754326105,0.5457564245463491,0.6550737429561109,0.2845946275236432,0.5404936970437463,727311.9946865416
7,263450.95256071026,265430.93012101424,300299.24,0.2550841089866559,0.2554503619686766,0.14703813344518402,0.6353848488250858,0.10953104218825824,268745.03162961896
8,302505.78554989793,328951.1574502642,318438.56,0.2286473219214168,0.4805825210687469,0.541019411870307,0.3540359058399219,0.4173167722386613,318517.4107522409
9,708632.7095171508,756388.9165220906,809222.39,0.2865205806081976,0.3421533523410164,0.2987683665967787,0.5003143386596955,0.21316508073210683,753968.032002666
10,603911.4326158445,630218.4671614072,586066.55,0.2900877127085936,0.5286267276217917,0.6250967733381355,0.26614840715245275,0.44376388013895357,602994.0936068193
11,467603.7195420204,552543.5829142291,513324.91,0.3816689352519654,0.1893593253475686,0.03137881935824505,0.5989285659637148,0.0194024987843199,519363.73544696986
12,917986.7364853384,1054052.7883008437,1057105.27,0.1532174002041361,0.5399130861782568,0.6448479008119494,0.300736617873416,0.5460459819224479,1034871.8969523469
13,323709.56854056375,357118.8729518428,339872.3,0.1934180223018743,0.5135711735801105,0.5987495537651933,0.3236413784763258,0.4829405992217999,342327.84109024645
14,724574.5449933524,771878.0553687252,748994.07,0.342542143922116,0.5744356285956098,0.7052623500423172,0.19377758344661197,0.463680272631272,745063.7569350423
15,501680.71346895857,574223.5183129946,579214.84,0.0468659011911139,0.4905800399455366,0.558515069904689,0.4207943409840983,0.5323397578247878,573480.8133671338
16,333972.678651973,393127.8984929425,396067.59,0.1427164540923098,0.4121505721356808,0.4212635012374414,0.4961412778053678,0.36114226810232236,385747.12213456817
17,279523.93463283137,345057.68936755374,352604.45,0.0919407782585189,0.351577230617221,0.31526015358013676,0.6217843320354024,0.2862748897060788,341192.91302273225
18,303975.8360492065,339174.86139591207,339382.96,0.2157772507633199,0.4127790816482622,0.42236339288445884,0.4529957680918978,0.3312269811447824,331648.640349464
19,806155.2517611344,913404.759342364,933621.78,0.2271284526394755,0.5556456591453025,0.6723799035042793,0.253208250925052,0.5196632964354726,899551.3882381448
20,589453.8501517123,709617.6666871413,771947.53,0.0041627415925327,0.5236366013970357,0.6163640524448125,0.3820389702399088,0.6137982881675584,747375.4191732823
21,258880.8220260223,284303.45395712764,286821.53,0.2246076756729997,0.521038301443588,0.611817027526279,0.30099409729056253,0.4743982270364378,279787.9064998735
22,278351.8075924313,331876.76819405775,333123.97,0.1960836125112279,0.358032885623722,0.3265575498415135,0.5413914217129979,0.2625249657757741,321708.8221711902
23,296982.7825360192,326404.8470267258,367229.1,0.1186328805614539,0.4119216721265253,0.4208629262214193,0.5104323744762964,0.37093474496224965,338057.55662904424
24,269270.2271247628,310351.8971000521,306710.13,0.3956125691595877,0.2146035521451512,0.0755562162540146,0.5587222034146258,0.04566522742578648,293933.16997290595
25,324521.0226823655,352469.1453951763,359781.57,0.2247131919281305,0.4340294929409494,0.45955161264666144,0.4190025051587592,0.35628430291311036,348794.13563491585
26,375643.7607755412,462880.0860265397,450725.88,0.297684967977938,0.4617021863971951,0.5079788261950915,0.34555386643632685,0.3567611655857352,432574.99462888576
27,494792.0119444932,543004.3825606164,568152.39,0.0,0.547239132613144,0.6576684820730021,0.3423315179269979,0.6576684820730021,559543.4344404363
28,674864.1020830239,754939.713355,729292.46,0.3388760495156203,0.3905476943289166,0.38345846507560405,0.40761037520691984,0.25351357527745993,721302.0796505314
29,803225.0753841039,889868.3873731623,873645.99,0.2938927282311278,0.457926359567869,0.5013711292437707,0.3520854715548747,0.35402180021399754,858661.4657078835
30,327534.5165654696,355937.8242853867,357057.59,0.0678900477764131,0.4531314451810579,0.49298002906685134,0.47259836088290164,0.4595115913406853,354524.0676927241
31,1230599.0395261548,1421335.4107722954,1392852.57,0.4777670146785079,0.4995049611181535,0.5741336819567686,0.22240143861958875,0.2998315467019034,1321667.8098881938
32,930550.0488275174,1098758.6057576777,1216014.18,0.2519298410337262,0.5080998124345062,0.5891746717603858,0.3073261686035798,0.440743990362694,1108061.54043358
33,1060383.6072790325,1282504.7291942528,1406745.41,0.1009121448504353,0.3762417484466536,0.3584230597816438,0.5768340350943424,0.3222538200552223,1300127.0443611164
34,912322.897279328,1087518.2309810913,1153323.53,0.0,0.5251133196013906,0.6189483093024336,0.3810516906975664,0.6189483093024336,1128248.309551986
35,341838.23511424306,352560.4497041919,322982.16,0.2607732672878239,0.5424612235791706,0.6493071412635485,0.2592415361492398,0.4799851965629363,335567.2415753477
36,440056.45275905245,478360.2493860528,479795.64,0.0333297652770281,0.5330860502657075,0.6329005879649882,0.35486407479854987,0.611806159924422,477961.7736547665
37,1449915.6788173865,2139881.7761558425,2409980.82,0.0,0.856727381067766,1.0,0.0,1.0,2409980.82
38,391282.8944384393,437577.4143042121,415117.56,0.1195585902107574,0.5955213098373116,0.7421622922152952,0.2270109949387923,0.6534304148504503,417366.55485909444
39,349752.1514987296,364474.1768943351,342946.26,0.120383587417349,0.6858112917173997,0.9001697605054495,0.0878123171314634,0.7918040954511876,345655.99389969546
40,1429051.9466893114,1752466.077833111,1970448.33,0.0,0.3648607358074671,0.3385062876630674,0.6614937123369327,0.3385062876630674,1826254.4407905592
41,637621.5083145398,649904.5668673385,658549.42,0.4242761307425248,0.3060618557790546,0.23560824761334553,0.4400785773125466,0.13564529194492858,645865.7919378742
42,332283.91466472705,358384.6782440039,355386.07,0.2483591215887563,0.4297105829558637,0.4519935201727614,0.41190407187239914,0.3397368065388446,350883.57793977996
43,859416.4306466421,1050294.1184523932,1059850.73,0.0,0.3682189807056898,0.34438321623495716,0.6556167837650428,0.34438321623495716,1053585.255073466
44,1002217.226265068,999916.7604705808,959872.73,0.3833703918099038,0.6157671611774376,0.7775925320605157,0.13714302981407558,0.4794865783760206,981598.1157888346
45,224989.2868559252,223598.0266811299,239143.32,0.4548395125974013,0.2974367487227732,0.22051431026485308,0.42494479853936357,0.12021568886323518,226099.61492583898
46,793333.4724588655,933781.6240901658,859708.71,0.2555311283123068,0.6643693797110468,0.8626464144943319,0.10225546882366385,0.6422134028640294,850322.1312165415
47,399663.7227547576,538934.9099228781,527684.11,0.0,0.5770108677863095,0.7097690186260416,0.2902309813739584,0.7097690186260416,530949.440702859
48,236880.13355951256,245751.9665495944,250393.04,0.2764168603773915,0.6251164843261576,0.7939538475707758,0.1490915218818966,0.5744916177407119,245965.9001232604
49,397157.7702688872,432899.3329467023,433517.58,0.1473688466037512,0.478654005837481,0.5376445102155918,0.39421869453396746,0.45841245886228127,427915.5522309435
50,370385.2643887911,467734.2179810776,468135.12,0.2274733069215792,0.4199577097030955,0.4349259919804171,0.43653475475993736,0.3359919383184834,445724.62942849833
51,312293.0272302959,346091.2466360839,349777.93,0.1502602127783062,0.4413945806746808,0.4724405161806914,0.44828828352740596,0.4014515036942879,342492.7435767312
52,482152.0464309813,653499.9998454251,677463.41,0.0109857103542924,0.4331482542334624,0.4580094449085592,0.5360364038384441,0.45297788580726356,662472.5157279648
53,824279.4396505072,889150.1917312318,826616.81,0.3617227460515494,0.5762109560355677,0.7083691730622435,0.18614132338454709,0.4521359305639035,837411.3764098044
54,857854.5962048833,942986.5048825224,900593.7,0.338603337381369,0.6544454951898953,0.8452796165823167,0.10233154523153074,0.5590651173871002,890460.218048612
55,291453.6277713469,323784.9043816084,300447.81,0.2505375953400463,0.5832025170271236,0.7206044047974662,0.20939649463188995,0.5400659100280637,303081.13497078547
56,522087.7005921757,597611.2431211348,591840.58,0.2388423941416095,0.5535618766458918,0.6687332841303107,0.25214618035194436,0.5090114255064462,576635.6859480563
57,342743.231125739,390702.708122445,369832.72,0.3231472319342875,0.3825584279203605,0.3694772488606308,0.4267710694370904,0.25008169862862206,369985.53380592307
58,752499.1436857559,805332.4025007216,852255.27,0.2519962174662343,0.397031333206475,0.3948048331113312,0.4526882740038779,0.29531550852988786,805875.6716001657
59,1079826.4517312946,1238192.2409048127,1140865.31,0.5211924930167269,0.6178929137877405,0.7813125991285458,0.10470916921991266,0.37409833776336043,1119243.3373658056
60,1485737.257496117,1994239.935066003,2124632.72,0.0,0.7481318063313425,1.0,0.0,1.0,2124632.72
61,502517.4788868306,586272.8855366632,621342.82,0.0,0.5582873135134581,0.6770027986485516,0.3229972013514484,0.6770027986485516,610015.3293167634
62,914988.5862860768,1190097.7667003362,1322076.95,0.0,0.5654090535355774,0.6894658436872604,0.3105341563127396,0.6894658436872604,1281092.9056631944
63,2032235.4067562253,3495393.7012963668,3675040.41,0.0,0.5984241765155194,0.7472423089021589,0.2527576910978411,0.7472423089021589,3629633.322694743
64,352385.81236831506,387601.1663439352,392276.09,0.0894587469910174,0.5026278916633968,0.5795988104109444,0.3827926259348855,0.5277486270740971,386918.02944359544
65,397976.68561066943,432077.9943207907,423232.77,0.1336583569400805,0.4950505769760072,0.5663385097080126,0.37569900803137374,0.4906426350285458,423180.22526091815
66,504041.5859861824,536846.8675643721,529476.58,0.2322392801493941,0.5481849142003192,0.6593235998505587,0.2615579582148481,0.5062027616357577,525497.3326664203
67,803038.1344021998,950901.4429667272,1158997.21,0.0,0.6766616753603665,0.8841579318806413,0.11584206811935871,0.8841579318806413,1134890.9659799815
68,656831.1654538994,761132.4826709605,830045.75,0.0863566455519489,0.4521276179606404,0.4912233314311206,0.46484042213617527,0.44880293231187585,783053.8472419105
69,340007.2575802669,376325.0862726709,348876.21,0.3114776258089022,0.4650676294338851,0.5138683515092989,0.3347125167882497,0.35380985740284804,355301.21221712435
70,1269971.609977384,1568777.2689555571,1755992.16,0.0,0.4530819066566717,0.49289333664917545,0.5071066633508245,0.49289333664917545,1661054.2412728644
71,243082.0412741512,265874.3420764416,267115.12,0.1855101289387332,0.3162302473684019,0.2534029328947033,0.6080957489213131,0.20639412213995373,261902.2286861018
72,457111.9071965834,454164.7265601549,443247.64,0.1829586996398494,0.5768862258985723,0.7095508953225015,0.2373089141741449,0.5797323861860058,448374.9502552819
73,360414.6554537356,406209.3398139168,390463.28,0.3779992610584164,0.3213169951715064,0.2623047415501362,0.4588469958695177,0.16315374307206584,386329.9543680877
