Id,preco,fold_busca,iter_400_bruto,iter_400_calibrado_cf,iter_600_bruto,iter_600_calibrado_cf,iter_800_bruto,iter_800_calibrado_cf,iter_1000_bruto,iter_1000_calibrado_cf,iter_1200_bruto,iter_1200_calibrado_cf
2000,1000000.0,2,1116595.788118229,1022244.9566407212,1143314.3310423158,1045851.5620844621,1167506.5847889076,1066487.6458482253,1182944.2050530443,1079746.4550629824,1182191.8073568174,1078173.0282460933
2001,680000.0,4,971929.936205809,883573.1655158332,977682.4885586834,887923.8072156201,987014.4875168011,894942.1247600818,992068.5890575099,898636.6929024259,999968.9086736041,904985.6721054984
2002,450000.0,4,301396.24281809205,273996.7382638262,308123.3642401519,279835.29813603614,310667.20228745055,281687.0163759055,315032.2774070988,285362.894309139,314668.4720485693,284779.3128338508
2003,1080000.0,5,976808.5042290502,894158.2432939854,978886.2851636945,895521.5373931277,975198.4749662636,890992.094556186,973441.1417707872,888630.1872319165,970374.1053227906,885168.3664537063
2004,350000.0,5,353195.39506602637,323310.63112623035,354563.95046105294,324368.2732442876,354125.0818148102,323547.11013260536,354001.19306817726,323158.8772837879,354147.3961430655,323050.73930586095
2005,490000.0,5,364239.9224002346,333420.6528105342,365067.38031151233,333977.2010535186,367489.48457586096,335757.524232128,370782.8969823469,338478.4770535196,371537.7565195661,338914.10252018314
2006,680000.0,2,565017.1954094776,517274.0078090519,570250.6070318245,521639.1257862864,572440.6926224835,522910.05003030656,575302.619904192,525114.3391011781,579180.8064436422,528219.8033342302
2007,390000.0,2,422393.2427252952,386701.5859183356,420456.88260032603,384614.6903938695,421492.11609305354,385022.3548991314,420373.80308877875,383701.210714414,419100.08303174085,382224.27430859103
2008,1350000.0,1,1145024.5727354055,1051824.3658605532,1166742.8260815013,1070466.78426509,1176407.0238311044,1077486.1655921072,1178878.205648942,1078619.707405064,1180473.7578740625,1078862.9874627686
2009,400000.0,5,332442.8135651174,304313.9785189586,333362.03655362636,304971.9747918271,333142.28496411437,304376.1345870425,332475.77198045887,303508.85618787544,332317.64053555805,303137.791294173
2010,980000.0,4,816506.8568554359,742279.3776612032,813955.8920898356,739228.556374632,811158.0817313505,735490.2550694423,806390.5971305005,730445.6439664148,795921.1149029987,720319.6008052658
2011,1200000.0,4,1017972.8699132635,925430.4014852751,1048015.9625129513,951800.1338339276,1058531.7488000225,959787.9913398655,1074783.0893591188,973561.2352435256,1081567.4006847574,978833.434265884
2012,215000.0,1,258737.24567036732,237677.117008587,257025.51278880832,235816.5552842251,255906.0944441161,234387.64889066946,254828.13041034582,233156.0988613594,254996.04717125802,233046.94018596713
2013,750000.0,4,499752.12561714975,454320.36935562413,501028.8951234927,455030.63549693977,505314.0520120865,458176.4878817195,509223.54831896,461265.4512568803,510580.2229748355,462082.1529996973
2014,580000.0,2,484663.47009314643,443710.0634291937,485651.47935980605,444251.72021943645,485635.3409256629,443615.5634857978,485658.17806701444,443290.3038877405,484223.59420143295,441617.69321988674
2015,1500000.0,4,1525737.1107555148,1387034.5160453701,1665071.3815883147,1512205.1767596197,1773258.7393194379,1607842.604122777,1827671.7963721566,1655543.7365104405,1892206.13970911,1712472.688154091
2016,300000.0,5,271941.3876057058,248931.73264534643,273757.2288690223,250443.28251904456,274619.2713664304,250906.4627164579,275081.59148416907,251115.137480176,275743.34372998954,251531.11958687915
2017,420000.0,1,377980.2679184412,347214.2564253837,379477.0849872645,348163.79907206,381701.84781773976,349605.58044373366,382763.9911169815,350211.56734043284,384391.9980936918,351304.9711219295
2018,560000.0,3,533550.7370504098,490091.1077547991,532105.7185817981,488125.337223422,530633.1123940792,485953.30346001755,531675.832119304,486337.9805019505,531608.1433981702,485693.12948957924
2019,489000.0,1,504145.08770216414,463109.78803472203,503482.85094947356,461936.98931803333,502945.808409311,460654.4670557608,502272.26529722917,459556.17911720637,500181.5217826701,457127.765242279
2020,1300000.0,4,1231582.288436881,1119620.8910237546,1281944.7724755039,1164252.5015403186,1307186.4912036655,1185247.299498804,1323538.429208673,1198889.0789126733,1342094.69624763,1214614.2346805017
2021,380000.0,4,405013.4698529269,368194.27029020374,405341.4447552308,368128.0201509321,405320.82761742047,367511.0013734976,404592.47385623417,366488.41288765037,405229.6193090883,366738.40177084185
2022,690000.0,3,938058.4941051458,861650.2510263686,938327.3283377893,860771.3233971315,936086.0255509401,857266.6986175689,932664.3239214998,853132.7857693878,933814.4638424101,853160.8759923575
2023,700000.0,1,832153.5648493073,764419.748263763,811261.4001949275,744318.596053999,786502.3133340207,720367.4788202071,773295.3899408447,707529.957920066,770066.6075680994,703782.1512292116
2024,400000.0,4,370241.71378074645,336583.5651984582,366477.9964579111,332832.5317101444,366235.03826445027,332071.279045332,368969.92354971607,334220.7540248578,369178.8324973493,334111.9418381733
2025,690000.0,2,796337.3591266682,729047.931054557,786679.1174013772,719618.0100737363,778247.2029843254,710909.075985029,774268.3657769064,706722.7005668756,770102.4159992065,702342.5883604429
2026,2200000.0,1,1287162.0378415177,1182392.4363283394,1298771.1173843262,1191600.5056504717,1320058.6814143378,1209058.5470679004,1324890.16965594,1212213.984693592,1320882.7174450955,1207186.0684113451
2027,370000.0,5,393162.14342751383,359895.69089010457,389735.1625501867,356544.2046056855,386267.1009852171,352913.73212706303,383304.41377462115,349909.05804509873,381393.7298295026,347904.65136800683
2028,579000.0,4,507289.28326108115,461172.33469835034,503532.7052576478,457304.5768356473,501776.43244451104,454968.8705544764,501795.2877011634,454536.77581122814,502844.5363461956,455081.24976951274
2029,265000.0,1,233496.90597420078,214491.2353016097,234719.4977389269,215351.16422593262,234612.55723058418,214884.62714791988,233837.10026183893,213950.2651387401,233349.13355323477,213263.31201167565
