Id,preco,fold_busca,iter_400_bruto,iter_400_calibrado_cf,iter_600_bruto,iter_600_calibrado_cf,iter_800_bruto,iter_800_calibrado_cf,iter_1000_bruto,iter_1000_calibrado_cf,iter_1200_bruto,iter_1200_calibrado_cf,iter_1400_bruto,iter_1400_calibrado_cf,iter_1600_bruto,iter_1600_calibrado_cf
2000,1000000.0,2,978380.5849942351,902755.2623276338,1048381.7118938887,965581.3279090034,1066406.1127248285,981180.5943329836,1081667.627671194,993825.5406619128,1081009.266694204,992064.9026754926,1095680.1339748832,1004770.1324312104,1088050.747380146,996807.3915466446
2001,680000.0,4,964523.1937979182,883290.6617104252,964311.3292224446,881596.109816154,965530.7659555586,881600.4628905749,973177.8823823212,887321.84588693,977710.5600716029,890491.6086647862,979479.1435705925,891364.2454259665,981010.6230692362,891818.6036549538
2002,450000.0,4,288964.71148758597,264627.98703242844,298252.9578223224,272669.87267414643,301955.53770395037,275707.57059068995,305244.2717762697,278314.90581752214,308288.47597240575,280786.88326878427,310108.53020402056,282210.8646620104,313005.40037782857,284547.4172624875
2003,1080000.0,5,967021.0086919544,889887.0675064311,962870.2279526866,885003.3415151902,962077.3457795284,883748.8984618884,960252.2706204081,881183.4519937228,962295.8194289001,882432.9268284668,961040.2863289963,880783.1176498958,958378.2576729483,877620.3679992895
2004,350000.0,5,352466.0576811063,324351.7810328229,354426.5342426085,325764.2182927371,354980.72676127544,326079.6313588378,355662.6521702585,326376.7794916479,356034.7711764574,326486.7194044356,356456.3587218903,326688.4306593125,356751.6490557902,326689.91707816947
2005,490000.0,5,336767.89478531264,309905.7741529184,336069.55571589567,308891.7604426209,340181.70202141005,312485.48337318987,341837.17743454635,313689.7180539325,346198.1586724587,317466.46743333957,350522.4817294832,321250.09602186724,353689.930094043,323886.1943304901
2006,680000.0,2,591520.9909522828,545798.5323396175,597588.8848366806,550391.77278463,601130.2068139515,553088.8153727383,607865.1202728737,558500.4731123798,613005.9220090233,562568.4062978652,615434.6465339808,564371.2358436155,617859.4851618999,566046.1180046467
2007,390000.0,2,412613.00370609283,380719.4931230995,410054.0206717177,377668.2684395185,409748.97605899174,377002.4750042232,409268.2125544737,376031.5943756116,407333.61737987795,373818.6137091989,406202.741771754,372499.5735418545,405080.9264545336,371111.0558369622
2008,1350000.0,1,1104386.1060393583,1020381.059337156,1122105.661236212,1034875.0715736222,1130637.5858797333,1041197.8244611676,1138872.1736399434,1047165.729924446,1139805.070393308,1046924.3754972469,1136391.1600270686,1042859.3022583468,1141841.2853065957,1046842.8469882063
2009,400000.0,5,338621.78563332156,311611.79033600347,342610.4215552553,314903.6693750885,344293.5732776404,316262.5826981577,343533.5007483874,315246.36319721566,342809.40457934997,314358.9529535836,342052.9990684474,313487.90597719816,342104.7453013548,313277.23689672444
