Id,pipeline_atual_21_19,especialista_caro,score_faixa_acima_1m,score_utilidade_especialista,peso_especialista_caro,previsao_final
0,1273952.9229872015,1609832.024127254,0.9963805174822303,0.6892149692313145,0.6951561069291272,1507441.331334575
1,229525.7180908985,965655.9028030542,0.0006710718334689678,0.0001526243038028501,7.696793703855594e-21,229525.7180908985
2,580826.3804086919,981044.2785700094,0.05917134101843004,0.028252173554291625,4.086000292318211e-09,580826.3820439824
3,201137.9130836265,614555.4823421823,0.0003810831603741984,0.0002331454637197585,2.5820634389106305e-22,201137.9130836265
4,287982.9458110522,972580.6115011594,0.0004145908174808743,5.948151224192643e-05,4.277966263948538e-22,287982.9458110522
5,216813.36581756297,983692.7612225336,0.0005340586483560686,0.00011500598502993993,1.9550515430045867e-21,216813.36581756297
6,726889.5107048269,959092.9958163764,0.016629947945231992,0.037130807277463346,2.09201527061921e-12,726889.5107053127
7,271560.9263131612,1037525.8887635686,0.0014145820492016568,0.00019936735016854197,6.753877982550342e-19,271560.9263131612
8,319007.48867669486,697693.109093583,0.000601556666765935,0.0015375591109069587,4.017710436054255e-21,319007.48867669486
9,755603.4548969428,1228758.7727365824,0.47952747135826823,0.15104519355387216,0.0019315965250964965,756517.4000647129
10,606017.8496103812,769729.568545107,0.016025084138844323,0.035937429402728274,1.6664626800084175e-12,606017.849610654
11,515532.6886217343,1063306.8788190917,0.01821967890701216,0.02213196592501274,3.391560762480579e-12,515532.68862359214
12,1034600.6626618754,1067617.5727990733,0.6745613783917626,0.34307067442077915,0.030191284251465014,1035597.4855809326
13,343512.7383650523,697135.0176737263,0.00020390702579002525,0.0006153870012615824,6.069679097726135e-24,343512.7383650523
14,747032.0784454901,1184854.2337484064,0.14673570646885206,0.05975688097820432,1.087406800597796e-06,747032.5545362792
15,573157.6193304699,1009662.302445645,0.005850150368261763,0.011467370692233856,3.5488599670872623e-15,573157.6193304714
16,385724.1561939559,755054.8788316593,0.0004345685203691899,0.002393786113263481,5.731789458184231e-22,385724.1561939559
17,341441.7905228475,702244.6325708365,0.001029532210567966,0.0045251294584927534,1.0228538204669053e-19,341441.7905228475
18,331647.07623147184,997016.1943569246,0.0005489955866083749,0.0001050700114719763,2.306846987934777e-21,331647.07623147184
