Id,preco,fold,generalista,especialista,loss_generalista,loss_especialista,delta_loss,especialista_vence,decil_preco_real,decil_preco_previsto
2000,1000000.0,2,1144174.2728809388,1045851.562084462,0.020786220960747417,0.0021023657455852755,0.01868385521516214,True,"(950000.0, 1300000.0]","(902688.818, 1178419.257]"
2001,680000.0,4,972771.776256296,887923.8072156201,0.18537048653171848,0.09349547925397564,0.09187500727774284,True,"(600000.0, 740000.0]","(902688.818, 1178419.257]"
2002,450000.0,4,334342.9386517189,279835.29813603614,0.06605706587516079,0.14299271980469974,-0.07693565392953895,False,"(440000.0, 511000.0]","(333776.363, 371708.671]"
2003,1080000.0,5,983534.7943689504,895521.5373931277,0.007977997168587688,0.029177214648315488,-0.0211992174797278,False,"(950000.0, 1300000.0]","(902688.818, 1178419.257]"
2004,350000.0,5,358709.7409820411,324368.2732442876,0.00061926194264691,0.00536314625697554,-0.004743884314328629,False,"(331274.0, 380000.0]","(333776.363, 371708.671]"
2005,490000.0,5,365645.16191962897,333977.2010535186,0.06440702104954309,0.10138739604787232,-0.036980374998329235,False,"(440000.0, 511000.0]","(333776.363, 371708.671]"
2006,680000.0,2,661589.424060959,521639.1257862864,0.0007330218564169435,0.054234789104090894,-0.05350176724767395,False,"(600000.0, 740000.0]","(566407.917, 703996.533]"
2007,390000.0,2,411694.8547497572,384614.6903938695,0.0030944557699741164,0.00019067429029508037,0.002903781479679036,True,"(380000.0, 440000.0]","(411670.459, 487661.932]"
2008,1350000.0,1,1153923.6301110934,1070466.78426509,0.021095167532955456,0.04287452329168709,-0.021779355758731633,False,"(1300000.0, 7100000.0]","(902688.818, 1178419.257]"
2009,400000.0,5,357533.38694593223,304971.9747918271,0.011271332651774494,0.056439534843532174,-0.045168202191757684,False,"(380000.0, 440000.0]","(333776.363, 371708.671]"
2010,980000.0,4,783643.2852283658,739228.556374632,0.040145730358089236,0.06036119123848785,-0.020215460880398613,False,"(950000.0, 1300000.0]","(703996.533, 902688.818]"
2011,1200000.0,4,1159255.035972386,951800.1338339276,0.001152883398341366,0.042779981642261294,-0.04162709824391993,False,"(950000.0, 1300000.0]","(902688.818, 1178419.257]"
2012,215000.0,1,266378.1410776054,235816.5552842251,0.05710575187864416,0.009374342323444015,0.047731409555200145,True,"(89999.999, 275000.0]","(120650.75, 278313.978]"
2013,750000.0,4,554907.9914284085,455030.63549693977,0.06766380765955186,0.1546789795472697,-0.08701517188771783,False,"(740000.0, 950000.0]","(487661.932, 566407.917]"
2014,580000.0,2,538204.4059876575,444251.7202194365,0.0051928409002513715,0.0547788212347864,-0.049585980334535026,False,"(511000.0, 600000.0]","(487661.932, 566407.917]"
2015,1500000.0,4,2058866.6214799609,1512205.1767596195,0.1388141780464115,6.620726210380264e-05,0.1387479707843077,True,"(1300000.0, 7100000.0]","(1178419.257, 4119593.829]"
2016,300000.0,5,302556.23521931533,250443.28251904456,7.260376107186797e-05,0.027287424972080386,-0.027214821211008516,False,"(275000.0, 331274.0]","(278313.978, 333776.363]"
2017,420000.0,1,372916.32312696,348163.79907206,0.012567305146739455,0.02925419367210528,-0.016686888525365824,False,"(380000.0, 440000.0]","(371708.671, 411670.459]"
2018,560000.0,3,548700.6353317637,488125.337223422,0.00040712896015876243,0.016473109532037008,-0.016065980571878247,False,"(511000.0, 600000.0]","(487661.932, 566407.917]"
2019,489000.0,1,525229.9080688264,461936.9893180333,0.005489297212188031,0.0030629118612428233,0.0024263853509452074,True,"(440000.0, 511000.0]","(487661.932, 566407.917]"
2020,1300000.0,4,1346125.5182859031,1164252.5015403186,0.0012589132764160864,0.010903777123113138,-0.009644863846697051,False,"(950000.0, 1300000.0]","(1178419.257, 4119593.829]"
2021,380000.0,4,413984.3315273691,368128.0201509321,0.00799816336123361,0.0009760658278163078,0.007022097533417302,True,"(331274.0, 380000.0]","(411670.459, 487661.932]"
2022,690000.0,3,959505.6907685434,860771.3233971315,0.15255895264992594,0.06125361246546456,0.09130534018446138,True,"(600000.0, 740000.0]","(902688.818, 1178419.257]"
2023,700000.0,1,744730.9519521216,744318.596053999,0.004083383801108181,0.004008444808566405,7.493899254177629e-05,True,"(600000.0, 740000.0]","(703996.533, 902688.818]"
2024,400000.0,4,379324.69463404187,332832.5317101444,0.002671676574847608,0.02819667997792972,-0.02552500340308211,False,"(380000.0, 440000.0]","(371708.671, 411670.459]"
2025,690000.0,2,766321.3769573652,719618.0100737363,0.012234725017156552,0.0018425257734256367,0.010392199243730915,True,"(600000.0, 740000.0]","(703996.533, 902688.818]"
2026,2200000.0,1,1704098.190801805,1191600.5056504717,0.05080962900124858,0.21009701243892243,-0.15928738343767385,False,"(1300000.0, 7100000.0]","(1178419.257, 4119593.829]"
