Id,preco,fold,xgb900_corr00_multiplicativa_calibrado_cf,xgb900_corr00_log_afim_calibrado_cf,xgb900_corr15_multiplicativa_calibrado_cf,xgb900_corr15_log_afim_calibrado_cf,xgb900_corr30_multiplicativa_calibrado_cf,xgb900_corr30_log_afim_calibrado_cf,xgb_te950_corr00_multiplicativa_calibrado_cf,xgb_te950_corr00_log_afim_calibrado_cf,xgb_te950_corr15_multiplicativa_calibrado_cf,xgb_te950_corr15_log_afim_calibrado_cf,xgb_te950_corr30_multiplicativa_calibrado_cf,xgb_te950_corr30_log_afim_calibrado_cf,xgb_feat_te950_corr00_multiplicativa_calibrado_cf,xgb_feat_te950_corr00_log_afim_calibrado_cf,xgb_feat_te950_corr15_multiplicativa_calibrado_cf,xgb_feat_te950_corr15_log_afim_calibrado_cf,xgb_feat_te950_corr30_multiplicativa_calibrado_cf,xgb_feat_te950_corr30_log_afim_calibrado_cf,lgb31_950_corr00_multiplicativa_calibrado_cf,lgb31_950_corr00_log_afim_calibrado_cf,lgb31_950_corr15_multiplicativa_calibrado_cf,lgb31_950_corr15_log_afim_calibrado_cf,lgb31_950_corr30_multiplicativa_calibrado_cf,lgb31_950_corr30_log_afim_calibrado_cf,blend_xgb900__xgb_te950_multiplicativa_calibrado_cf,blend_xgb900__xgb_te950_log_afim_calibrado_cf,blend_xgb900__xgb_feat_te950_multiplicativa_calibrado_cf,blend_xgb900__xgb_feat_te950_log_afim_calibrado_cf,blend_xgb900__lgb31_950_multiplicativa_calibrado_cf,blend_xgb900__lgb31_950_log_afim_calibrado_cf,blend_xgb_feat_te950__lgb31_950_multiplicativa_calibrado_cf,blend_xgb_feat_te950__lgb31_950_log_afim_calibrado_cf
2000,1000000.0,2,1184167.15063099,1207055.0015292068,1184230.6071728598,1206875.391803218,1183571.4666044593,1207138.9147544059,1050892.1664530854,1081731.050118463,1052352.0742868783,1082653.5139992617,1053149.0091852963,1084781.7024247346,1053909.7688701584,1084119.254318496,1055096.3927867624,1085322.4924034257,1055666.1672091798,1087584.5138709699,804222.9532603101,847464.7139020595,805386.7904643395,847542.4287524296,806043.7878915438,850168.4919222384,1131710.1178350127,1169724.980252993,1113832.1473241695,1145896.8539880821,1051741.4058252645,1117477.403067523,970070.4910285647,1013736.1883313283
2001,680000.0,4,1081159.3117316854,1102844.7229894293,1081007.8310612494,1102571.4706710076,1080190.112858018,1103379.8202935318,1069001.5995076532,1084126.5156885965,1069818.3675977828,1085184.6286281496,1069973.5325338398,1087395.4575640226,1045772.9797275892,1074021.7862794534,1046371.6916970053,1074972.0460983727,1046367.4691530695,1077018.7558275429,1084445.1674178767,1095966.9447371445,1085465.2350160275,1097326.4316278978,1085811.569082118,1099920.8954230302,1075713.2707316275,1095119.6685377075,1072836.6218951002,1094141.1997793436,1083608.849467121,1100151.398090597,1072184.8463345503,1084534.501908321
2002,450000.0,4,934777.8610583481,963948.4567353072,934646.8898170469,963545.91814438,933939.8849707944,964892.600596256,996016.3354913441,1013778.5675966953,996777.3393667843,1014796.603904303,996921.9105358823,1017317.1461276213,1001021.77489509,1032105.3923124338,1001594.8665028231,1033038.8404833341,1001590.8246519557,1035257.368403579,925956.9473739086,941943.9280261309,926827.9353294803,943241.5089473331,927123.6537708032,946588.233323514,966250.6156600311,986936.9597113268,952241.6320118903,979370.306059739,932764.8821025733,955856.4814573305,959040.1712513068,980626.3588489211
2003,1080000.0,5,996252.1861108046,1025694.0188599958,992415.4046465639,1021833.5379099648,987997.169076568,1019344.2776241864,1024230.207670849,1047978.0422334209,1014556.3236466688,1038623.7965056715,1004226.2091780545,1030666.9957243416,1031508.5699594944,1062392.4916850221,1019940.7214890943,1051933.3266367442,1007777.6340202913,1042641.8937423442,994332.7687017,1013343.2539213814,990272.2675191677,1009483.7061539133,985599.6304914432,1007266.2570193965,994402.4793723659,1020906.6838088466,995296.537677435,1022218.7545600837,988591.0838604899,1012444.6820480339,997749.3308498127,1017636.3948951036
2004,350000.0,5,904688.9514732491,939291.4740305535,821920.5271567918,860088.5582395387,738721.135752919,782345.8351935833,975190.462344334,1001519.927993817,881936.4934726334,912331.614688423,787941.5151170889,824393.5651224125,986607.3215325089,1020647.9551313772,891157.4972555328,931514.5424287282,795077.2670426306,843206.1508054854,1020157.039398795,1038124.811220694,920543.5261127887,942337.5574939635,820196.7739271768,848052.6924255851,756652.847180934,790852.3697683917,756856.0737715936,792895.2554685863,768527.9318595716,796830.8334078533,810521.7979973997,836926.597382654
2005,490000.0,5,955037.0433463871,986891.5859901342,955014.4302829271,986571.5937102312,954429.943585502,987776.9814924954,1062495.4519848102,1084111.458025158,1063895.8648345224,1085286.8541664788,1064631.3416045832,1087612.7259848502,1032277.3245217247,1063105.607208893,1033237.8572536871,1064277.5680345611,1033611.7815456343,1066546.2298726393,1057549.285646638,1073943.4246274144,1058777.7323520312,1075188.1861995289,1059361.2397331954,1077704.12343578,994114.8372803025,1011691.0970674835,979802.9718546139,1004742.6265483089,992822.1164776373,1011338.3198045872,1049904.8813287143,1067601.31823037
2006,680000.0,2,911568.666418948,958772.1938843043,911617.5150930706,957846.5117524373,911110.1104681414,958671.9158829235,1079350.3895533246,1107910.6567233056,1080849.8317791,1108929.233594181,1081668.3477225187,1111002.6465662061,1057426.3287871475,1087364.368065932,1058616.912088345,1088573.5167350455,1059188.5876658275,1090824.9671252703,1088589.6131921818,1113838.6768894175,1090164.9737145556,1114875.0780436106,1091054.28005958,1117025.079085285,980762.5006036846,1003262.7423416709,994287.6162847203,1022752.9117371639,976005.6544648836,995389.0884143163,1071959.6635917919,1095869.9161759748
2007,390000.0,2,911263.0867072011,958489.2885393474,828425.9030151569,880209.100569674,745124.9209003086,803033.3065553411,957849.4570357611,995605.2780588997,868134.6295985411,910931.1413644897,777677.6312551312,827233.895964671,976732.7257979099,1012611.8808607947,883931.1138761683,925838.0909106855,790456.4064691549,839933.2614135366,1082646.2620497618,1108347.4045786478,974597.2716516622,1007296.2947308813,865687.1337583237,906689.7971925711,758844.2152812424,807832.5928735081,771086.5811175657,817508.6173740554,788792.8921803323,824673.7297043946,817965.5566229713,854369.1826137477
2008,1350000.0,1,1152081.3328737584,1178612.237708373,1141027.9101230733,1168316.2684846132,1129370.6630558234,1158600.207765351,1099579.1015862154,1122909.2655645472,1094561.1876020264,1118045.5591058936,1088918.905269446,1114089.6910887968,1081129.081545099,1112600.6233774847,1077563.2054554466,1109475.5454624547,1073431.4782512896,1107211.7359085877,1100245.8074964571,1123893.8076151856,1096138.528569311,1119684.8918214573,1091412.3518101997,1116457.737418421,1103675.5501888767,1133053.204052612,1108310.9424989026,1135188.4865322693,1115873.9503157581,1141754.6838447414,1084870.2847220653,1106530.016821512
2009,400000.0,5,939155.9839881207,971901.4991281761,852687.7312821688,889474.3536505458,765772.7613484527,808376.8482200294,965526.8892569371,992344.4450391742,875154.187141792,905836.4862834264,784050.5245270069,820644.6831488675,939709.6971912076,976845.2740865247,852695.2280747067,895224.4707363257,765083.1403845547,814662.0702136558,991639.321224991,1010756.4382935866,897730.9413151689,920307.5675060942,803113.0387164121,831498.2582400986,772756.9763855368,809397.1631653453,766544.1224729617,805027.5411651927,780055.6001119077,810159.4386132553,787539.9884298893,814584.1659317442
