Id,preco,fold,generalista,especialista,score_alvo_exato,peso_direto_alvo_exato,peso_cf_alvo_exato,pred_cf_alvo_exato,score_alvo_projetado_01,peso_direto_alvo_projetado_01,peso_cf_alvo_projetado_01,pred_cf_alvo_projetado_01
2000,1000000.0,2,1144174.2728809388,1045851.562084462,0.511364271403681,0.511364271403681,0.3312503492720246,1111604.8405882337,0.46812873253770887,0.46812873253770887,0.2521930988065633,1119377.9637621138
2001,680000.0,4,972771.776256296,887923.8072156201,0.28884779451681764,0.28884779451681764,0.22998150753256802,953258.3124252447,0.46494025300871034,0.46494025300871034,0.2724103795130655,949658.3088090126
2002,450000.0,4,334342.9386517189,279835.29813603614,-0.1252489287407319,0.0,0.04363798206667073,331964.335212399,0.28718367197955996,0.28718367197955996,0.005775507969339955,334028.12933953066
2003,1080000.0,5,983534.7943689504,895521.5373931277,0.25205078492552335,0.25205078492552335,0.13842285321648554,971351.7482174813,0.43006424226142154,0.43006424226142154,0.16258030282677693,969225.5723970502
2004,350000.0,5,358709.7409820411,324368.2732442876,0.07920380338883039,0.07920380338883039,0.0606417115249737,356627.2156021441,0.3474095038123895,0.3474095038123895,0.05926187976548686,356674.60104999604
2005,490000.0,5,365645.16191962897,333977.2010535186,0.23272646701289135,0.23272646701289135,0.12972691015580112,361536.9752055337,0.4986956212944923,0.4986956212944923,0.2483695266181154,357779.8054703521
2006,680000.0,2,661589.424060959,521639.1257862864,-0.5448618989502448,0.0,0.0,661589.424060959,0.11673026464386993,0.11673026464386993,0.0,661589.424060959
2007,390000.0,2,411694.8547497572,384614.6903938695,0.5607281774984162,0.5607281774984162,0.35840049762412896,401989.31036886387,0.48339653092090495,0.48339653092090495,0.2750947963813574,404245.2424503006
2008,1350000.0,1,1153923.6301110934,1070466.78426509,0.39147950391406544,0.39147950391406544,0.27616577676132953,1130875.7054519814,0.4952139952517347,0.4952139952517347,0.29282099287760205,1129485.7136480338
2009,400000.0,5,357533.38694593223,304971.9747918271,0.128371110813399,0.128371110813399,0.08276699986602958,353183.03655321506,0.39596151769077154,0.39596151769077154,0.11995189711346443,351228.54584308463
2010,980000.0,4,783643.2852283658,739228.556374632,0.7053767625067623,0.7053767625067623,0.41741954312804314,765103.7094020844,0.5762489495238226,0.5762489495238226,0.43937342428573384,764128.6337231784
2011,1200000.0,4,1159255.035972386,951800.1338339276,0.012072897622484348,0.012072897622484348,0.10543280393011804,1137382.48395088,0.348109475292683,0.348109475292683,0.0971642129390245,1139097.8436857602
